date,total_trips,total_revenue
2021-10-17,96201,1999164.0000013357
2021-11-16,117589,2385455.1100005307
2021-12-09,129921,2774409.1599991284
2021-12-24,66936,1261878.450000768
2020-07-19,15604,284147.4199999648
2020-03-22,10018,179582.18999999342
2021-07-04,56665,1128439.8300005407
2021-07-08,89668,1737988.960001205
2021-07-13,92237,1752208.8200012213
2021-07-14,99825,1891988.0700014147
2021-07-22,98790,1936516.6500014279
2021-05-04,75831,1330746.3800008006
2021-05-06,83200,1513932.3900009692
2021-05-09,59948,1111127.0800005144
2021-05-17,69934,1269567.4800007204
2021-03-11,63134,1059495.7300004992
2021-03-25,65033,1109934.840000555
2021-03-31,62781,1070695.5200005271
2020-10-09,53944,919966.7700003474
2020-10-23,57514,965567.8800003944
2020-11-23,48389,788330.890000203
2020-12-18,55241,955140.1200003868
2021-02-11,53967,895958.0700003196
2021-02-24,55039,918505.3900003459
2021-01-08,46254,753502.8700001441
2020-09-06,23867,417724.44999991305
2020-08-12,34218,574058.4299999407
2020-07-05,13104,248760.27999997558
2020-07-26,16174,294105.929999961
2020-06-02,13252,227497.9999999806
2020-06-21,11631,221042.13999998276
2020-06-29,22894,394907.7799999138
2020-05-29,13383,220438.4399999779
2020-02-06,239915,4504973.19999185
2020-02-17,147386,2843776.6699986914
2020-02-19,214184,4001022.3599938243
2021-11-05,124361,2538636.33999996
2021-11-25,66468,1330101.0300008128
2021-11-28,87747,1973166.8700012574
2021-09-11,101610,1943013.0600014627
2021-09-17,104667,2119991.0700014355
2021-09-24,103674,2205242.8100011307
2021-06-13,70094,1395073.8300007866
2021-10-19,106266,2083782.750001491
2021-12-01,117381,2444390.55000039
2021-12-07,122596,2508478.080000128
2021-12-13,107243,2252113.2400009744
2021-12-14,115889,2359794.35000057
2020-05-24,7079,120728.35000000709
2020-03-02,190883,3636455.7599954894
2020-06-24,22858,389496.11999991804
2020-03-20,26635,448494.6699998891
2021-07-06,84652,1579689.4900011078
2021-07-17,90120,1698246.140001242
2021-07-18,73448,1524890.7400009148
2021-05-12,81690,1467444.0600009153
2021-03-24,63727,1061077.3300005235
2020-10-07,52797,1871648.1800008398
2020-10-08,55507,941364.8600003431
2020-11-02,50901,843394.3500002497
2020-11-01,40436,685947.6200000554
2020-11-07,52287,871675.9600002827
2020-12-04,53224,860308.6500002801
2020-11-19,56841,946143.1900003734
2020-12-05,40634,642079.0000000222
2021-04-28,78222,1379378.1700008477
2021-02-10,52910,888114.3800002967
2021-02-19,49330,803029.3400001999
2021-01-17,29889,518043.4799998867
2020-09-20,31873,553987.989999915
2020-09-27,33351,568846.7199999256
2020-08-03,29862,496196.2699998708
2020-08-08,24974,415527.13999990904
2020-06-04,13799,234327.00999997786
2020-05-13,9573,152098.06000000142
2020-05-18,10211,163394.13999999748
2020-05-23,6884,112130.91000000761
2020-04-03,9604,150157.9600000026
2020-01-20,160431,3060061.9199978006
2020-02-15,200214,3497686.279994767
2020-02-20,235248,4455954.819991878
2021-11-29,102990,2198127.610001242
2021-09-05,69576,2256709.9600000875
2021-09-23,98723,2017875.6400014062
2021-06-11,94127,1810774.0500012857
2021-06-29,96280,1779656.7600013083
2020-01-08,211901,3832670.8999942816
2020-01-14,214917,4011087.8399936883
2020-03-04,226724,4922110.8099926105
2020-04-16,7809,120912.78000000928
2020-04-11,5795,90392.38000000543
2021-11-20,125458,2485810.7500000712
2021-09-06,67422,1448212.9500007879
2021-09-22,101312,1982929.7000013876
2021-06-18,94057,1863456.5000013222
2021-06-23,98172,1872594.5500013968
2021-06-30,96804,1804284.990001316
2021-08-08,70151,1448875.6900008104
2021-07-25,71781,1466581.0100008557
2021-04-30,83518,1508168.8100009537
2021-10-10,89689,1825836.3400011833
2021-10-13,108892,2150950.750001334
2020-03-09,172855,3203948.9899970875
2020-07-15,26769,456517.2099998953
2020-03-15,58581,1080625.3900005547
2020-03-19,28781,482888.4999998795
2021-05-25,84387,1549740.1100010197
2021-03-06,51642,841750.1900002592
2021-03-19,69419,1167109.9800006351
2020-10-12,39648,644614.0100000123
2020-10-27,55417,907736.5400003353
2020-11-17,55192,1061787.5300005504
2021-02-14,37192,625839.1199999939
2021-01-23,39652,635685.8900000221
2020-07-04,12895,225363.62999997922
2020-06-20,13390,231999.60999997516
2020-04-27,7891,122197.94000000937
2021-12-22,88087,1754614.170001271
2021-12-30,75865,1599949.2400010312
2020-01-29,224742,4176074.429993276
2020-03-29,5349,87883.92000000467
2021-07-24,88403,1716131.8900012367
2021-07-29,94283,1832181.5400012804
2021-05-27,87943,1678271.8700011054
2021-04-14,72103,1251917.8400006997
2020-11-10,57560,954465.7000003806
2020-11-26,22676,374394.7199999215
2020-12-09,53272,859151.8200002733
2020-12-20,29603,502460.7299998845
2021-06-10,99546,1898312.9800013644
2020-12-31,41119,672617.000000071
2021-02-03,51195,881247.2900002897
2020-09-09,44101,739369.2600001342
2020-09-19,41438,682367.0300000659
2020-09-25,54279,926688.450000355
2020-08-17,30025,515417.29999986896
2020-08-25,35654,594647.2799999494
2020-04-09,7192,110223.39000000816
2020-04-13,6871,106007.7100000072
2020-01-07,196352,3560902.9799955045
2021-11-11,119351,2506860.4200000213
2021-11-13,126465,2470832.0500001307
2021-11-17,121677,2486012.500000175
2021-09-02,86560,1934961.2500013527
2021-09-16,97691,1870437.3800013028
2021-06-26,93679,1775813.8200012743
2021-04-23,79287,1415102.0400008915
2021-04-29,77091,1388315.6100008234
2021-12-08,127002,2643606.869999549
2021-12-06,108109,2284142.590000869
2021-12-17,119198,2499405.220000075
2021-12-20,90448,1839731.5100013136
2020-03-24,11366,187825.45999999053
2020-02-01,209892,3642239.4799944824
2021-05-02,57435,1080175.7600004333
2021-05-20,88105,1660325.0700011156
2021-03-08,51585,860364.4700002717
2021-03-26,68391,1193323.8500006397
2020-09-30,52027,870493.4600002836
2020-10-16,54100,898687.000000315
2020-12-02,51789,839583.5400002511
2020-12-12,44100,703016.2300000957
2021-02-07,25298,427222.8699999171
2020-09-10,44690,740849.5400001399
2020-09-11,46685,789200.0200001947
2020-08-16,17798,328996.49999995227
2020-08-22,28629,485982.07999988634
2020-07-24,26636,454141.1799998942
2020-06-06,10641,195438.28999999503
2020-06-15,16461,286050.6699999589
2020-05-03,5302,84129.27000000452
2020-05-27,12452,203132.2399999855
2020-04-07,7283,112136.06000000823
2020-04-20,7534,116860.09000000924
2020-01-01,167847,3315474.2199958405
2020-01-05,162445,3089925.7799975607
2020-01-13,206639,3943311.279994045
2020-01-18,188452,3272226.5699956934
2020-02-28,247831,4673787.979990415
2021-11-03,116709,2286829.420000834
2021-11-21,100141,2098864.4800014636
2021-08-06,93030,1842792.0100013544
2021-08-15,72174,1498086.0000008827
2021-08-21,92307,1787386.7000012782
2021-04-06,65520,1156942.2400005993
2021-04-10,65074,1527981.6200008243
